dataset,init_cls,increment,final,avg
aircraft,10,10,55.57,63.59
aircraft,50,10,55.57,58.84
cars,10,10,89.66,93.56
cars,50,10,89.66,91.23
cifar224,10,10,78.61,85.23
cifar224,50,10,78.61,81.61
cub200,20,20,80.24,85.68
cub200,100,20,80.24,82.14
food101,10,10,82.63,88.20
food101,50,10,82.63,85.31
imagenetr,20,20,79.08,83.59
imagenetr,100,20,79.08,80.56
objectnet,20,20,45.99,56.59
objectnet,100,20,45.99,50.59
sun,30,30,77.90,83.84
sun,150,30,77.90,80.63
ucf101,10,10,87.23,91.54
ucf101,50,10,87.23,89.52
